# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
1.86E-04,1.86E-04,0.00E+00,2.67E-04,2.67E-04,3.07E-04,2.67E-04,3.23E-01,1.41E+01,1.49E-02,1.49E-02,2.38E-04,1.49E-02,3.17E-01,1.15E+01,0.00E+00
1.79E-04,1.79E-04,0.00E+00,2.30E-04,2.30E-04,2.82E-04,2.30E-04,2.91E-01,1.38E+01,1.49E-02,1.49E-02,2.17E-04,1.49E-02,2.78E-01,1.11E+01,2.30E-04
1.72E-04,1.72E-04,0.00E+00,2.37E-04,2.37E-04,2.81E-04,2.37E-04,2.91E-01,1.38E+01,1.49E-02,1.49E-02,2.17E-04,1.49E-02,2.63E-01,1.10E+01,0.00E+00
1.73E-04,1.73E-04,0.00E+00,2.30E-04,2.30E-04,2.71E-04,2.30E-04,3.13E-01,1.43E+01,1.49E-02,1.49E-02,2.12E-04,1.49E-02,3.19E-01,1.16E+01,2.30E-04
1.67E-04,1.67E-04,0.00E+00,2.75E-04,2.75E-04,2.55E-04,2.75E-04,3.83E-01,1.49E+01,1.50E-02,1.50E-02,2.03E-04,1.50E-02,3.60E-01,1.21E+01,0.00E+00
1.64E-04,1.64E-04,0.00E+00,2.18E-04,2.18E-04,2.44E-04,2.18E-04,3.44E-01,1.44E+01,1.48E-02,1.48E-02,1.98E-04,1.48E-02,3.22E-01,1.19E+01,2.18E-04
1.64E-04,1.64E-04,0.00E+00,2.05E-04,2.05E-04,2.48E-04,2.05E-04,3.72E-01,1.50E+01,1.48E-02,1.48E-02,1.95E-04,1.48E-02,3.91E-01,1.23E+01,2.05E-04
1.57E-04,1.57E-04,0.00E+00,2.03E-04,2.03E-04,2.33E-04,2.03E-04,4.09E-01,1.53E+01,1.48E-02,1.48E-02,1.88E-04,1.48E-02,4.26E-01,1.27E+01,2.03E-04
1.53E-04,1.53E-04,0.00E+00,1.96E-04,1.96E-04,2.34E-04,1.96E-04,4.43E-01,1.55E+01,1.49E-02,1.49E-02,1.85E-04,1.49E-02,4.44E-01,1.31E+01,1.96E-04
1.50E-04,1.50E-04,0.00E+00,2.25E-04,2.25E-04,2.32E-04,2.25E-04,4.58E-01,1.56E+01,1.50E-02,1.50E-02,1.83E-04,1.50E-02,4.59E-01,1.31E+01,0.00E+00
1.50E-04,1.50E-04,0.00E+00,1.90E-04,1.90E-04,2.22E-04,1.90E-04,4.40E-01,1.56E+01,1.49E-02,1.49E-02,1.76E-04,1.49E-02,4.40E-01,1.30E+01,1.90E-04
1.45E-04,1.45E-04,0.00E+00,1.81E-04,1.81E-04,2.27E-04,1.81E-04,4.64E-01,1.56E+01,1.49E-02,1.49E-02,1.79E-04,1.49E-02,4.70E-01,1.32E+01,1.81E-04
1.47E-04,1.47E-04,0.00E+00,1.86E-04,1.86E-04,2.23E-04,1.86E-04,4.64E-01,1.57E+01,1.49E-02,1.49E-02,1.76E-04,1.49E-02,4.89E-01,1.33E+01,0.00E+00
1.44E-04,1.44E-04,0.00E+00,1.75E-04,1.75E-04,2.12E-04,1.75E-04,4.58E-01,1.58E+01,1.49E-02,1.49E-02,1.68E-04,1.49E-02,4.70E-01,1.32E+01,1.75E-04
1.39E-04,1.39E-04,0.00E+00,1.98E-04,1.98E-04,2.07E-04,1.98E-04,4.41E-01,1.57E+01,1.49E-02,1.49E-02,1.65E-04,1.49E-02,4.47E-01,1.29E+01,0.00E+00
1.37E-04,1.37E-04,0.00E+00,1.92E-04,1.92E-04,2.19E-04,1.92E-04,4.83E-01,1.59E+01,1.50E-02,1.50E-02,1.77E-04,1.50E-02,4.88E-01,1.33E+01,0.00E+00
1.36E-04,1.36E-04,0.00E+00,1.85E-04,1.85E-04,2.12E-04,1.85E-04,4.57E-01,1.59E+01,1.49E-02,1.49E-02,1.69E-04,1.49E-02,4.31E-01,1.30E+01,0.00E+00
1.35E-04,1.35E-04,0.00E+00,1.75E-04,1.75E-04,2.12E-04,1.75E-04,4.70E-01,1.60E+01,1.49E-02,1.49E-02,1.77E-04,1.49E-02,4.60E-01,1.32E+01,0.00E+00
1.30E-04,1.30E-04,0.00E+00,1.84E-04,1.84E-04,2.11E-04,1.84E-04,5.08E-01,1.61E+01,1.50E-02,1.50E-02,1.70E-04,1.50E-02,5.10E-01,1.35E+01,0.00E+00
1.28E-04,1.28E-04,0.00E+00,1.71E-04,1.71E-04,2.22E-04,1.71E-04,4.57E-01,1.66E+01,1.49E-02,1.49E-02,1.76E-04,1.49E-02,4.42E-01,1.38E+01,1.71E-04
1.26E-04,1.26E-04,0.00E+00,1.61E-04,1.61E-04,2.24E-04,1.61E-04,4.92E-01,1.64E+01,1.50E-02,1.50E-02,1.76E-04,1.50E-02,4.68E-01,1.38E+01,1.61E-04
1.26E-04,1.26E-04,0.00E+00,1.79E-04,1.79E-04,2.22E-04,1.79E-04,4.92E-01,1.66E+01,1.50E-02,1.50E-02,1.74E-04,1.50E-02,4.71E-01,1.40E+01,0.00E+00
1.26E-04,1.26E-04,0.00E+00,1.61E-04,1.61E-04,2.45E-04,1.61E-04,4.96E-01,1.71E+01,1.50E-02,1.50E-02,1.89E-04,1.50E-02,4.78E-01,1.43E+01,0.00E+00
