# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.93E-02,9.73E-02,1.99E-03,9.83E-03,8.97E-03,8.69E-04,8.97E-03,5.27E-02,2.70E+00,2.18E-02,2.12E-02,6.88E-04,2.12E-02,4.85E-02,1.89E+00,9.83E-03
3.77E-03,2.10E-03,1.67E-03,3.93E-03,3.04E-03,8.84E-04,3.04E-03,6.11E-02,3.99E+00,1.71E-02,1.64E-02,6.44E-04,1.64E-02,5.13E-02,3.03E+00,3.93E-03
2.66E-03,1.16E-03,1.50E-03,2.68E-03,1.82E-03,8.61E-04,1.82E-03,4.29E-02,5.98E+00,1.69E-02,1.63E-02,5.93E-04,1.63E-02,5.23E-02,4.64E+00,2.68E-03
2.26E-03,8.99E-04,1.36E-03,2.35E-03,1.50E-03,8.54E-04,1.50E-03,3.76E-02,6.62E+00,1.70E-02,1.64E-02,5.62E-04,1.64E-02,5.09E-02,5.50E+00,2.35E-03
2.12E-03,8.46E-04,1.27E-03,2.44E-03,1.80E-03,6.42E-04,1.80E-03,3.47E-02,6.08E+00,1.74E-02,1.70E-02,4.39E-04,1.70E-02,4.65E-02,4.78E+00,0.00E+00
2.00E-03,7.93E-04,1.20E-03,2.50E-03,1.88E-03,6.24E-04,1.88E-03,3.53E-02,6.31E+00,1.73E-02,1.69E-02,4.29E-04,1.69E-02,4.65E-02,4.97E+00,0.00E+00
1.87E-03,7.22E-04,1.15E-03,2.02E-03,1.36E-03,6.55E-04,1.36E-03,3.77E-02,7.21E+00,1.67E-02,1.63E-02,4.46E-04,1.63E-02,4.61E-02,5.70E+00,2.02E-03
1.73E-03,6.42E-04,1.09E-03,1.74E-03,1.10E-03,6.41E-04,1.10E-03,3.93E-02,7.43E+00,1.63E-02,1.59E-02,4.40E-04,1.59E-02,4.83E-02,5.92E+00,1.74E-03
1.58E-03,5.67E-04,1.01E-03,1.68E-03,1.09E-03,5.92E-04,1.09E-03,4.07E-02,7.69E+00,1.62E-02,1.58E-02,4.11E-04,1.58E-02,4.73E-02,5.95E+00,1.68E-03
1.44E-03,5.06E-04,9.38E-04,1.43E-03,8.49E-04,5.81E-04,8.49E-04,4.07E-02,8.58E+00,1.59E-02,1.55E-02,4.05E-04,1.55E-02,5.59E-02,6.50E+00,1.43E-03
1.31E-03,4.40E-04,8.68E-04,1.36E-03,8.26E-04,5.38E-04,8.26E-04,4.06E-02,8.41E+00,1.57E-02,1.54E-02,3.79E-04,1.54E-02,5.17E-02,6.40E+00,1.36E-03
1.18E-03,3.85E-04,7.96E-04,1.16E-03,6.12E-04,5.48E-04,6.12E-04,4.18E-02,9.55E+00,1.56E-02,1.52E-02,3.80E-04,1.52E-02,6.44E-02,7.38E+00,1.16E-03
1.08E-03,3.47E-04,7.35E-04,1.12E-03,5.99E-04,5.22E-04,5.99E-04,4.38E-02,9.42E+00,1.54E-02,1.51E-02,3.62E-04,1.51E-02,6.46E-02,7.34E+00,1.12E-03
1.00E-03,3.15E-04,6.86E-04,1.08E-03,5.84E-04,4.91E-04,5.84E-04,4.75E-02,8.68E+00,1.54E-02,1.50E-02,3.46E-04,1.50E-02,5.62E-02,6.73E+00,1.08E-03
9.33E-04,2.92E-04,6.42E-04,1.03E-03,5.36E-04,4.92E-04,5.36E-04,4.97E-02,9.00E+00,1.53E-02,1.50E-02,3.45E-04,1.50E-02,6.11E-02,7.09E+00,1.03E-03
