# Train Loss,Valid MSE,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test MSE,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
4.924067105558277467e-04,5.115680453147635571e-04,5.118328214991627913e-04,2.625598651959908450e-02,2.061478704999899492e+00,4.019650351526294014e-04,4.018628405473790503e-04,3.518843190460552856e-02,1.430457115639001131e+00,0.000000000000000000e+00
4.741875296782923754e-04,5.062545925962724357e-04,5.065554186140466429e-04,2.004895304550925045e-02,1.519161309581249952e+00,3.864913226526725748e-04,3.863694855043393818e-04,3.839967260190427917e-02,1.320977940980810672e+00,0.000000000000000000e+00
5.020794026464461346e-04,5.009459049948158851e-04,5.012428758514118465e-04,2.320028526736580415e-02,1.650457756331888959e+00,3.827845435569903788e-04,3.826643152694824573e-04,2.372274174741107258e-02,1.117426663171499968e+00,0.000000000000000000e+00
5.015102537207836823e-04,4.978233781811366825e-04,4.981075149592534279e-04,2.648509723215378142e-02,1.743459629651624709e+00,3.823590900710654365e-04,3.822465272835454250e-04,4.064082717746569234e-02,1.651188575313426554e+00,0.000000000000000000e+00
4.946254634403962494e-04,5.096505298015905662e-04,5.099512343747231039e-04,3.188243191953763628e-02,2.400470147491432726e+00,3.909498875821205673e-04,3.908284809724550256e-04,2.336548088307244600e-02,4.258849956095218658e-01,0.000000000000000000e+00
4.887265579956409948e-04,5.188916217617040288e-04,5.191964317125552248e-04,2.665154269562162656e-02,2.262151042290497571e+00,3.990031328624043887e-04,3.988768490141594803e-04,2.135493339596294254e-02,3.954962419811636209e-01,0.000000000000000000e+00
4.849575134938548032e-04,4.971394286951094253e-04,4.974267574175065664e-04,2.720401156434367612e-02,2.143807270156685263e+00,3.810033296973676441e-04,3.808892568010325652e-04,3.173007009749113927e-02,1.221250968053936958e+00,0.000000000000000000e+00
4.894500593280176485e-04,5.249371731354456018e-04,5.252417966312762122e-04,2.496010491797349615e-02,1.417941518942825496e+00,4.018798482408825418e-04,4.017508409093334659e-04,3.041352810162367346e-02,8.378087472519837320e-01,0.000000000000000000e+00
5.000598417570879329e-04,8.538217688698158470e-04,8.542441839733708143e-04,3.204666756859995275e-02,2.483209704281762242e+00,6.919783505194580710e-04,6.918120119359858194e-04,2.246708549324250709e-02,5.316756013780832291e-02,0.000000000000000000e+00
4.760121019957141162e-04,6.513290916498388388e-04,6.516736991324679215e-04,3.177325204778987805e-02,2.481402769684791565e+00,5.275660083567299506e-04,5.274141836993458034e-04,2.375769985866138870e-02,3.020509884227067232e-01,0.000000000000000000e+00
