# Train Loss,Valid MSE,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test MSE,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.713139651001411912e-03,8.149470183222243605e-03,8.153369243056603211e-03,5.210134773423775317e-02,5.887386442213028204e+00,4.715440833335939053e-02,4.700026245612650561e-02,1.973040169623924839e-02,1.113036724796984345e+00,8.149470183222243605e-03
7.124028362747420774e-03,4.636712960847135662e-03,4.639175692606358273e-03,8.445126037707133271e-02,8.451428042601037305e+00,4.412357300374546848e-02,4.396077413650888860e-02,9.278635702826359966e-02,8.184841732130735181e+00,4.636712960847135662e-03
4.400860344213334413e-03,2.889999887436657880e-03,2.891244916200106513e-03,1.019631503026774133e-01,9.429601286588876974e+00,4.446985855657324682e-02,4.430052346064297653e-02,1.216427988670372440e-01,1.044124122882203665e+01,2.889999887436657880e-03
2.894379464123630896e-03,1.922772384464873892e-03,1.923673072994000911e-03,1.233024730745710673e-01,1.072076137176918564e+01,4.511947370918255318e-02,4.494496719947636137e-02,1.646629252643672103e-01,1.276377149233303498e+01,1.922772384464873892e-03
1.945270982531005803e-03,1.463863073680956445e-03,1.464736214635180408e-03,1.354334865840061408e-01,1.178022612144559389e+01,4.603567285726499481e-02,4.585661211434548939e-02,1.715495181423547788e-01,1.297716596959799062e+01,1.463863073680956445e-03
1.436088248815491509e-03,1.275009758948784586e-03,1.276064129920279544e-03,1.453013448671326424e-01,1.239046795738249784e+01,4.685528994081561427e-02,4.667260182650504602e-02,1.749473296874002326e-01,1.313799716687935870e+01,1.275009758948784586e-03
1.188448406847260677e-03,1.226311950645934262e-03,1.227452985046084384e-03,1.396332857189402366e-01,1.169580364209105028e+01,4.740734397222971797e-02,4.722256696720397023e-02,1.774128073962722429e-01,1.299804255091294181e+01,1.226311950645934262e-03
1.077272982737222757e-03,1.169167519875040839e-03,1.170061081843311659e-03,1.394867417876184679e-01,1.153963508287415607e+01,4.780707500822437700e-02,4.762065961620293164e-02,2.050277082992172650e-01,1.457251953023660462e+01,1.169167519875040839e-03
1.016788300942007882e-03,1.159833387877341228e-03,1.160709858589051421e-03,1.332825480380861460e-01,1.139298216299357591e+01,4.813793628846927547e-02,4.795017435256955507e-02,2.154324563992676689e-01,1.533516658637381624e+01,1.159833387877341228e-03
9.716571631601099998e-04,1.174665753506050174e-03,1.175458372385627210e-03,1.423048341945319650e-01,1.186399612371315015e+01,4.851445026365639596e-02,4.832528375629554368e-02,2.146469239830648690e-01,1.541872764464642387e+01,0.000000000000000000e+00
9.485216184483316300e-04,1.134534904387749996e-03,1.135656018874412095e-03,1.517310260622214413e-01,1.277533133554243250e+01,4.832424219296891504e-02,4.813571460786209011e-02,2.113515254379420283e-01,1.538979197402659338e+01,1.134534904387749996e-03
9.186714142994420029e-04,1.082387279316280367e-03,1.083333738216418459e-03,1.581704591350349687e-01,1.282131843588285847e+01,4.859793171107784637e-02,4.840813763986005769e-02,2.112006589670099854e-01,1.523609010169457179e+01,1.082387279316280367e-03
8.892387053724922809e-04,1.142155355727669710e-03,1.143321937977179311e-03,1.508925758120391869e-01,1.263168992238206556e+01,4.870691999325426486e-02,4.851695923695366341e-02,2.159580277321739017e-01,1.554109642961702775e+01,0.000000000000000000e+00
8.703843547103114501e-04,1.097763997908230739e-03,1.098886366412849371e-03,1.742724321313744718e-01,1.391566677216906101e+01,4.891776729164888649e-02,4.872679822769807739e-02,2.238763903596411586e-01,1.591829513180709910e+01,0.000000000000000000e+00
8.567946724918116099e-04,1.094985586874711730e-03,1.096110426016350418e-03,1.795146641249624753e-01,1.413511091147665866e+01,4.895594981948468011e-02,4.876474911305764964e-02,2.255934055761609491e-01,1.612528308638138697e+01,0.000000000000000000e+00
8.414708204617590576e-04,1.047977212389620714e-03,1.049020181224228666e-03,1.751358598825551172e-01,1.375965596214518882e+01,4.934621833936303492e-02,4.915342163722916796e-02,2.279681901378263487e-01,1.629626788180030417e+01,1.047977212389620714e-03
8.303048422757011411e-04,1.022488831141446248e-03,1.023440312812064906e-03,1.793117329818780248e-01,1.415511435575899668e+01,4.940924496770117413e-02,4.921605268133575489e-02,2.297753186771370471e-01,1.640842521765443962e+01,1.022488831141446248e-03
8.146481832614455802e-04,1.023940948745428016e-03,1.024943727858378551e-03,1.771154465376815756e-01,1.418798975719255395e+01,4.943287177298724688e-02,4.923961506184309361e-02,2.297864322318942665e-01,1.644089436710055452e+01,0.000000000000000000e+00
7.989466098382414600e-04,1.100262935829555847e-03,1.101423345762340879e-03,1.678250660436408637e-01,1.356859104291652329e+01,4.950148635445641987e-02,4.930824019542909276e-02,2.311353209339349346e-01,1.649363500840263441e+01,0.000000000000000000e+00
7.872128035740659285e-04,9.952847594543107797e-04,9.962364865698217133e-04,1.638723316577788969e-01,1.317067799242795445e+01,4.977970212680299378e-02,4.958497185689280523e-02,2.385971987654819937e-01,1.686401464144000784e+01,9.952847594543107797e-04
7.897298114295017973e-04,1.039719759160467926e-03,1.040443797888334016e-03,1.719802352406875623e-01,1.374145274577313103e+01,5.010038200286433263e-02,4.990459383523925679e-02,2.442249510638505039e-01,1.695124232843227219e+01,0.000000000000000000e+00
7.697481219981861878e-04,1.015767241210957560e-03,1.016828978680149077e-03,1.713711428550856453e-01,1.384256262533017434e+01,4.990050783206488594e-02,4.970534384267675382e-02,2.467918262530877926e-01,1.700157296104589477e+01,0.000000000000000000e+00
